domain,domain_raw,source,pulled_at,source_url,company_name,team_size,headcount_min,headcount_max,industry,industries,batch,status,tags,regions,one_liner,long_description
swayable.com,http://swayable.com,yc,2026-07-24T09:49:29.866905+00:00,https://www.ycombinator.com/companies/swayable,Swayable,30,30,30,B2B,B2B;Marketing,Winter 2018,Active,Machine Learning,United States of America;America / Canada;Remote;Partly Remote,Swayable predicts consumer opinion and the impact of content,"Swayable partners with the world's leading brands and advocacy groups to change minds, behaviors and attitudes.

We are hiring in data science, full stack engineering, data visualization, design, and operations. We welcome unsolicited CVs from anyone, and especially encourage women and people from under-represented groups to talk to us."
popularpays.com,http://popularpays.com,yc,2026-07-24T09:49:29.866905+00:00,https://www.ycombinator.com/companies/popular-pays,Popular Pays,37,37,37,B2B,B2B;Marketing,Winter 2015,Acquired,Advertising,United States of America;America / Canada;Remote;Partly Remote,Software for collaborating with content creators and influencers ,"Popular Pays is a platform connecting content Creators with Brands who want content to tell their stories. We’re tech-forward, with an in-house built iOS and web app (for creators) and dashboard (for brands) that delivers direct communication & powerful statistics to help you run a multiplatform campaign. To find out what we’re about, visit our website: www.popularpays.com."
clickpass.com,http://clickpass.com,yc,2026-07-24T09:49:29.866905+00:00,https://www.ycombinator.com/companies/clickpass,Clickpass,11,11,11,B2B,"B2B;Engineering, Product and Design",Summer 2007,Acquired,,United Kingdom;United States of America;Europe;America / Canada,,"Clickpass provides single-sign-on services to enter into various websites by using a single password.

Clickpass is headquartered in San Francisco, California"
parse.com,http://parse.com,yc,2026-07-24T09:49:29.866905+00:00,https://www.ycombinator.com/companies/parse,Parse,11,11,11,B2B,"B2B;Engineering, Product and Design",Summer 2011,Acquired,,United States of America;America / Canada,Parse is the easiest way to build apps.,"Parse offers cloud-based software developer kits that enable users to create apps for desktop, mobile, and embedded devices. Its product portfolio is comprised of Parse Core to save data in the cloud; make the app social; run custom app code in the Parse Cloud; schedule recurring tasks such as sending engagement emails, updating data, and long running computation; share data between platforms; and get a local datastore and Parse dashboard.

The company also provides Parse Push for creating, scheduling, and segmenting push notifications; and Parse Analytics to find and fix crashes, measure app usage, optimize push campaigns, track custom analytics, and measure growth analytics.

Parse is based in San Francisco, California. Currently, it operates as a subsidiary of Facebook."
qulture.rocks,https://qulture.rocks/en/home/,yc,2026-07-24T09:49:29.866905+00:00,https://www.ycombinator.com/companies/qulture-rocks,Qulture.Rocks,70,70,70,B2B,B2B;Human Resources,Winter 2018,Acquired,Human Resources;Culture,United States of America;America / Canada;Remote;Partly Remote,"The people, management, and culture operating system for your startup.","Qulture.Rocks makes people management, OKR management, and culture management software for some of the world's most innovative companies, backed by the likes of Founders Fund, Blackstone, Sequoia, and Tiger Global.

Our suite of products encompasses 1:1s, engagement surveys, performance reviews, OKRs/goals, ongoing feedback, and peer to peer recognition, and integrates seamlessly with your existing software (including Slack).

We also help our customers design their processes, which is of special help for startups and scaleups implementing these practices for the first time."
pathmind.com,https://pathmind.com,yc,2026-07-24T09:49:29.866905+00:00,https://www.ycombinator.com/companies/pathmind,Pathmind,15,15,15,B2B,"B2B;Engineering, Product and Design",Winter 2016,Inactive,Reinforcement Learning;Warehouse Management Tech;Supply Chain,United States of America;America / Canada;Remote;Fully Remote,Pathmind helps industrial engineers and simulation modelers achieve…,"Pathmind helps industrial engineers and simulation modelers achieve 10-20% gains in performance for industrial operations, supply chains and mining. We help them apply deep reinforcement learning to simulations and digital twins, and deploy decision-making policies into operations. "
compgun.com,http://compgun.com,yc,2026-07-24T09:49:29.866905+00:00,https://www.ycombinator.com/companies/compgun,Compgun,11,11,11,B2B,B2B;Human Resources,Winter 2016,Inactive,Sales,United States of America;America / Canada,Sales commission software that grows revenue.,"Compgun is founded on the simple premise that sales commissions are simultaneously the sales organization's single biggest strategic lever and its largest expense.

At previous companies, Tim and Jake were amazed by the effectiveness of sales commissions in rallying teams around new strategic priorities and business objectives. At the same time, they were shocked by how primitively commission expenses are often managed. Most businesses administer commissions with Excel and email, making it nearly impossible for sales reps or their managers to track how they are pacing throughout the month, let alone which transactions were included in a previous period’s paycheck. Compgun’s mission is to stand the status quo on it’s head by providing real-time performance tracking and insight to every member of the sales org."
presto.com,http://presto.com,yc,2026-07-24T09:49:29.866905+00:00,https://www.ycombinator.com/companies/presto,Presto,200,200,200,B2B,B2B;Retail,Summer 2010,Public,Food Service Robots & Machines;Restaurant Tech,United States of America;America / Canada;Remote;Partly Remote,Digital meets physical for big chain restaurants,"Presto automates big chain restaurants like McDonald's, Starbucks, KFC, Chili's with a combination of Computer Vision, Voice AI, payments and advanced hw/sw solutions.  We're obsessed with introducing next-gen tech to advance physical industries and delight consumers."
focal.systems,http://www.focal.systems,yc,2026-07-24T09:49:29.866905+00:00,https://www.ycombinator.com/companies/focal-systems,Focal Systems,170,170,170,B2B,B2B;Retail,Winter 2016,Active,Deep Learning;Grocery;Computer Vision,United States of America;Canada;United Kingdom;America / Canada;Europe;Remote;Partly Remote,Building the Operating System for B&M Retail using Deep Learning,"Focal Systems is on a mission to lower the cost of living for all mankind by automating and optimizing Brick and Mortar Retail with the latest advancements in AI. Focal Systems is the industry leader in retail automation solutions. By digitizing store shelves hourly and unleashing FocalOS, retailers unlock huge operational efficiencies, optimized merchandising, and streamlined supply chains which deliver impactful financial results. Focal is transforming retail by empowering store management to make automated, data-driven decisions. We are the operating system of retail."
getaccept.com,https://www.getaccept.com,yc,2026-07-24T09:49:29.866905+00:00,https://www.ycombinator.com/companies/getaccept,GetAccept,200,200,200,B2B,B2B;Sales,Winter 2016,Active,Documents;SaaS;Productivity;Sales,United States of America;America / Canada;Remote;Partly Remote,Close deals faster. Digitally.,"Close more deals by sending sales content with personalized video reminders, live chat and e-signature. We’re the Digital Sales Room platform for the best remote selling experience.

Today we are the fourth fastest growing SaaS company in the world and our platform is used in over 50 countries. From four founders, to over 200 employees worldwide in five years, and we still love every second of being a part of the journey. We have high hopes on what’s to come and could not be more excited for the future!"
pendo.io,pendo.io,manual_seed,2026-07-24T09:49:43.528576+00:00,,Pendo,,,,,,,,,,,
